store|websites|attribute_set|type|sku|name|ncm|ean|loja|fornecedor|origem|lead_time|color|status|visibility|tax_class_id|volume_comprimento|volume_altura|volume_largura|description|short_description|price|special_price|cost|weight|qty|is_in_stock|store_id|product_type_id|marca
admin|base|Default|simple|Cromus_23010662|8  Acessórios Para Diversão Futebol Sortido |48102990|7909107712799|tamarindos|Cromus|1|10||Habilitado|Catálogo, Busca|Nenhum|47.0|4.0|30.0|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Acessórios para festas infantis. <br/>Dimensões:<br/>-cartões: L 8,5 x A 12cm<br/>-placar: L 40 x A 20cm<br/>-troféu: L 27 x A 33cm<br/>-luva: L18 x A 32cm<br/><strong>Procure todos os nossos produtos para festa tema</strong>Futebol<br/><strong>material</strong>Papel Cartão<br/><strong>cor</strong>Colorido|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Acessórios para festas infantis. <br/>Dimensões:<br/>-cartões: L 8,5 x A 12cm<br/>-placar: L 40 x A 20cm<br/>-troféu: L 27 x A 33cm<br/>-luva: L18 x A 32cm<br/><strong>Procure todos os nossos produtos para festa tema</strong>Futebol<br/><strong>material</strong>Papel Cartão<br/><strong>cor</strong>Colorido| 9.92 | 9.92 | 4.96 |1.3|47|1|0|simple|Cromus
admin|base|Default|simple|Cromus_1421165|6  Adesivos 3D Carrinho de Bebe Reino Menina |39264000|7909107294301|tamarindos|Cromus|1|10||Habilitado|Catálogo, Busca|Nenhum|25.0|6.0|13.0|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Adesivos decorativos com formato 3D. <br/>Dimensões: A 2,5cm<br/><strong>Procure todos os nossos produtos para festa<br/><strong>material</strong>Resina e Papel adesivado<br/><strong>cor</strong>Branco, Rosa|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Adesivos decorativos com formato 3D. <br/>Dimensões: A 2,5cm<br/><strong>Procure todos os nossos produtos para festa<br/><strong>material</strong>Resina e Papel adesivado<br/><strong>cor</strong>Branco, Rosa| 9.46 | 9.46 | 4.73 |0.2|518|1|0|simple|Cromus
admin|base|Default|simple|Cromus_1421157|6  Adesivos 3D Carrinho de Bebe Reino Menino |39264000|7909107294325|tamarindos|Cromus|1|10||Habilitado|Catálogo, Busca|Nenhum|25.0|6.0|13.0|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Adesivos decorativos com formato 3D. <br/>Dimensões: A 2,5cm<br/><strong>Procure todos os nossos produtos para festa<br/><strong>material</strong>Resina e Papel adesivado<br/><strong>cor</strong>Branco, Azul|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Adesivos decorativos com formato 3D. <br/>Dimensões: A 2,5cm<br/><strong>Procure todos os nossos produtos para festa<br/><strong>material</strong>Resina e Papel adesivado<br/><strong>cor</strong>Branco, Azul| 9.46 | 9.46 | 4.73 |0.2|389|1|0|simple|Cromus
admin|base|Default|simple|Cromus_28110046|8  Adesivos Agua Jardim Das Borboletas|48219000|7909107536654|tamarindos|Cromus|1|10||Habilitado|Catálogo, Busca|Nenhum|28.5|1.0|12.0|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Adesivo para agua<br/>Dimensões: L 20 x A 4,5cm<br/>Garrafinha de agua não inclusa<br/><strong>Procure todos os nossos produtos para festa tema</strong>Jardim das Borboletas<br/><strong>material</strong>Papel Adesivo<br/><strong>cor</strong>Azul, Lilas|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Adesivo para agua<br/>Dimensões: L 20 x A 4,5cm<br/>Garrafinha de agua não inclusa<br/><strong>Procure todos os nossos produtos para festa tema</strong>Jardim das Borboletas<br/><strong>material</strong>Papel Adesivo<br/><strong>cor</strong>Azul, Lilas| 5.24 | 5.24 | 2.62 |0.2|11|1|0|simple|Cromus
admin|base|Default|simple|Cromus_28110043|8  Adesivos Agua Keep Calm |48219000|7909107536593|tamarindos|Cromus|1|10||Habilitado|Catálogo, Busca|Nenhum|28.5|1.0|12.0|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Adesivo para agua<br/>Dimensões: L 20 x A 4,5cm<br/>Garrafinha de agua não inclusa<br/><strong>Procure todos os nossos produtos para festa tema</strong>Keep Calm<br/><strong>material</strong>Papel Adesivo<br/><strong>cor</strong>Colorido|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Adesivo para agua<br/>Dimensões: L 20 x A 4,5cm<br/>Garrafinha de agua não inclusa<br/><strong>Procure todos os nossos produtos para festa tema</strong>Keep Calm<br/><strong>material</strong>Papel Adesivo<br/><strong>cor</strong>Colorido| 4.19 | 4.19 | 2.10 |0.2|62|1|0|simple|Cromus
admin|base|Default|simple|Cromus_28110022|8  Adesivos Agua Pic Nic 20X4,5 |48219000|7909107520097|tamarindos|Cromus|1|10||Habilitado|Catálogo, Busca|Nenhum|28.5|1.0|12.0|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Adesivo para agua<br/>Dimensões: L 20 x A 4,5cm<br/>Garrafinha de agua não inclusa<br/><strong>Procure todos os nossos produtos para festa tema</strong>Pic Nic<br/><strong>material</strong>Papel Adesivo<br/><strong>cor</strong>Vermelho, Branco|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Adesivo para agua<br/>Dimensões: L 20 x A 4,5cm<br/>Garrafinha de agua não inclusa<br/><strong>Procure todos os nossos produtos para festa tema</strong>Pic Nic<br/><strong>material</strong>Papel Adesivo<br/><strong>cor</strong>Vermelho, Branco| 5.24 | 5.24 | 2.62 |0.2|33|1|0|simple|Cromus
admin|base|Default|simple|Cromus_28110065|30  Adesivos Especial Ballet|48211000|7909107711372|tamarindos|Cromus|1|10||Habilitado|Catálogo, Busca|Nenhum|28.0|10.6|11.0|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Adesivos decorativos<br><strong><br/>Dimensões: </strong><br/>-cartela: L 10 x A 23cm<br/>-coração: L 4 x A 3,7cm<br/>-quadrado: L 4,3 x A 4cm<br/>-círculo: L 4 x A 4cm<br/><strong>Procure todos os nossos produtos para festa tema</strong>Ballet<br/><strong>material</strong>Papel Adesivo<br/><strong>cor</strong>Rosa|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Adesivos decorativos<br><strong><br/>Dimensões: </strong><br/>-cartela: L 10 x A 23cm<br/>-coração: L 4 x A 3,7cm<br/>-quadrado: L 4,3 x A 4cm<br/>-círculo: L 4 x A 4cm<br/><strong>Procure todos os nossos produtos para festa tema</strong>Ballet<br/><strong>material</strong>Papel Adesivo<br/><strong>cor</strong>Rosa| 4.94 | 4.94 | 2.47 |2.3|122|1|0|simple|Cromus
admin|base|Default|simple|Cromus_28110067|30  Adesivos Especial Festa Dos Sonhos|48219000|7909107711334|tamarindos|Cromus|1|10||Habilitado|Catálogo, Busca|Nenhum|28.0|10.6|11.0|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Adesivos decorativos<br><strong><br/>Dimensões: </strong><br/>-coração: L 4 x A 3,7cm<br/>-quadrado: L 4 x A 4cm<br/>-círculo: D 4cm<br/><strong>Procure todos os nossos produtos para festa tema</strong>Festa dos Sonhos<br/><strong>material</strong>Papel Adesivo<br/><strong>cor</strong>Colorido|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Adesivos decorativos<br><strong><br/>Dimensões: </strong><br/>-coração: L 4 x A 3,7cm<br/>-quadrado: L 4 x A 4cm<br/>-círculo: D 4cm<br/><strong>Procure todos os nossos produtos para festa tema</strong>Festa dos Sonhos<br/><strong>material</strong>Papel Adesivo<br/><strong>cor</strong>Colorido| 4.94 | 4.94 | 2.47 |2.3|59|1|0|simple|Cromus
admin|base|Default|simple|Cromus_28110019|30  Adesivos Especial Patinhas Safari|48219000|7909107714151|tamarindos|Cromus|1|10||Habilitado|Catálogo, Busca|Nenhum|28.0|10.6|11.0|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Adesivos decorativos<br><strong><br/>Dimensões: </strong><br/>-Pata G: L 4,5 x A 5 cm<br/>-Pata M: L 3,2 x A 3,5cm<br/>-cartela: L 10 x A 22,5cm<br/><strong>Procure todos os nossos produtos para festa tema</strong>Safari<br/><strong>material</strong>Papel Adesivo<br/><strong>cor</strong>Marfim, Marrom|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Adesivos decorativos<br><strong><br/>Dimensões: </strong><br/>-Pata G: L 4,5 x A 5 cm<br/>-Pata M: L 3,2 x A 3,5cm<br/>-cartela: L 10 x A 22,5cm<br/><strong>Procure todos os nossos produtos para festa tema</strong>Safari<br/><strong>material</strong>Papel Adesivo<br/><strong>cor</strong>Marfim, Marrom| 4.94 | 4.94 | 2.47 |2.3|99|1|0|simple|Cromus
admin|base|Default|simple|Cromus_28110058|30  Adesivos Especial Reinado Da Princesa|48211000|7909107708907|tamarindos|Cromus|1|10||Habilitado|Catálogo, Busca|Nenhum|28.5|0.6|26.0|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Adesivos decorativos<br><strong><br/>Dimensões: </strong><br/>-coração: L 4 x A 3,7<br/>-quadrado: L 4,3 x A<br/><strong>Procure todos os nossos produtos para festa tema</strong>Princesa<br/><strong>material</strong>Papel adesivado<br/><strong>cor</strong>Rosa, Ouro|Produto perfeito para festas de aniversário, reuniões de amigos ou chás de bebês<br/>Com esse produto você receberá diversos elogios de seus convidados pelo bom gosto na escolha para decorar ambientes<br/><strong>Características<br/></strong>Adesivos decorativos<br><strong><br/>Dimensões: </strong><br/>-coração: L 4 x A 3,7<br/>-quadrado: L 4,3 x A<br/><strong>Procure todos os nossos produtos para festa tema</strong>Princesa<br/><strong>material</strong>Papel adesivado<br/><strong>cor</strong>Rosa, Ouro| 4.94 | 4.94 | 2.47 |0.3|129|1|0|simple|Cromus
