sku,nome,nomeml,descrição,fornecedor,marca,lead_time,estoque,peso,altura,largura,comprimento,cubagem,Sku-fiscal,Nome-fiscal,ean,ncm,isbn,origem,imagens,atributos,conteudo_da_embalagem,dimensoes,Cor,Garantia,Material,valor,cat_b2w,cat_cnova,cat_mercado_livre,cat_tamarindos,cat_walmart,cat_netshoes,cat_amazon
CromusFJ_23010900,4 Balões Decorativos Juninos Sortidos M/G Festa Junina,4 Balões Decorativos Juninos Sortidos M/G Festa Junina,Já pensou como vai decorar a sua festa junina?? Os produtos da Cromus são perfeitos para deixar esse ambiente bem divertido e aconchegante.<br/><br/><strong>CARACTERÍSTICAS: </strong><br/>Dimensões:<br/>- Médio: C 18 x L 18 x A 40cm<br/>- Grande: C 21 x L 21 x A 46cm<br/><strong>material: </strong>Cartão<br/><strong>Cor: </strong>Vermelho,Cromus,Cromus,15,9999,1,20,20,20,,23010900,4 Balões Decorativos Juninos Sortidos M/G Festa Junina,7909107793262,48239099,,0,http://tamarindos.com.br/imagems/CromusTotal/FestaJunina/23010900.jpg|http://tamarindos.com.br/imagems/CromusTotal/FestaJunina/Ambiente.jpg,,,,Vermelho,3 Meses,,,,,MLB256823,,,,
CromusFJ_23700184,20 Bandejas Laminadas Chita R5 Festa Junina,20 Bandejas Laminadas Chita R5 Festa Junina,"Já pensou como vai decorar a sua festa junina?? Os produtos da Cromus são perfeitos para deixar esse ambiente bem divertido e aconchegante.<br/><br/><strong>CARACTERÍSTICAS: </strong><br/>Linda bandeja para servir<br/>Dimensões: C 40,3 x L 30,3 x A 1,3cm<br/><strong>material: </strong>Cartão<br/><strong>Cor: </strong>Palha",Cromus,Cromus,15,9999,1,20,20,20,,23700184,20 Bandejas Laminadas Chita R5 Festa Junina,7909107793156,48115129,,0,http://tamarindos.com.br/imagems/CromusTotal/FestaJunina/23700184.jpg|http://tamarindos.com.br/imagems/CromusTotal/FestaJunina/Ambiente.jpg,,,,Bege,3 Meses,,,,,MLB256823,,,,
CromusFJ_23010905,"8 Cachepots Barraca Junina 10X10X19,8 Festa Junina","8 Cachepots Barraca Junina 10X10X19,8 Festa Junina","Já pensou como vai decorar a sua festa junina?? Os produtos da Cromus são perfeitos para deixar esse ambiente bem divertido e aconchegante.<br/><br/><strong>CARACTERÍSTICAS: </strong><br/>Produto perfeito para decorar e encher com doces e lembranças<br/>Dimensões: C 10 x L 10 x A 19,8cm<br/><strong>material: </strong>Cartão<br/><strong>Cor: </strong>Vermelho",Cromus,Cromus,15,9999,1,20,20,20,,23010905,"8 Cachepots Barraca Junina 10X10X19,8 Festa Junina",7909107793361,48102990,,0,http://tamarindos.com.br/imagems/CromusTotal/FestaJunina/23010905.jpg|http://tamarindos.com.br/imagems/CromusTotal/FestaJunina/Ambiente.jpg,,,,Vermelho,3 Meses,,,,,MLB256823,,,,
CromusFJ_27010080,"24 Cachepots De Palha Bento 14,5X14,5X6,5 Festa Junina","24 Cachepots De Palha Bento 14,5X14,5X6,5 Festa Junina","Já pensou como vai decorar a sua festa junina?? Os produtos da Cromus são perfeitos para deixar esse ambiente bem divertido e aconchegante.<br/><br/><strong>CARACTERÍSTICAS: </strong><br/>Produto perfeito para decorar e encher com doces e lembranças<br/>Dimensões: C 14,5 x L 14,5 x A 6,5cm<br/><strong>material: </strong>Palha<br/><strong>Cor: </strong>Palha",Cromus,Cromus,15,9999,1,20,20,20,,27010080,"24 Cachepots De Palha Bento 14,5X14,5X6,5 Festa Junina",7909107808430,65040010,,0,http://tamarindos.com.br/imagems/CromusTotal/FestaJunina/27010080.jpg|http://tamarindos.com.br/imagems/CromusTotal/FestaJunina/Ambiente.jpg,,,,Bege,3 Meses,,,,,MLB256823,,,,
CromusFJ_27010081,"24 Cachepots De Palha Beto 18,5X18,5X6,5 Festa Junina","24 Cachepots De Palha Beto 18,5X18,5X6,5 Festa Junina",Já pensou como vai decorar a sua festa junina?? Os produtos da Cromus são perfeitos para deixar esse ambiente bem divertido e aconchegante.<br/><br/><strong>CARACTERÍSTICAS: </strong><br/>Produto perfeito para decorar e encher com doces e lembranças<br/>Dimensões: <br/><strong>material: </strong>Palha<br/><strong>Cor: </strong>Palha,Cromus,Cromus,15,9999,1,20,20,20,,27010081,"24 Cachepots De Palha Beto 18,5X18,5X6,5 Festa Junina",7909107808454,65040010,,0,http://tamarindos.com.br/imagems/CromusTotal/FestaJunina/27010081.jpg|http://tamarindos.com.br/imagems/CromusTotal/FestaJunina/Ambiente.jpg,,,,Bege,3 Meses,,,,,MLB256823,,,,
CromusFJ_27010079,"24 Cachepots De Palha Juca 12,5X12,5X4 Festa Junina","24 Cachepots De Palha Juca 12,5X12,5X4 Festa Junina",Já pensou como vai decorar a sua festa junina?? Os produtos da Cromus são perfeitos para deixar esse ambiente bem divertido e aconchegante.<br/><br/><strong>CARACTERÍSTICAS: </strong><br/>Produto perfeito para decorar e encher com doces e lembranças<br/>Dimensões: <br/><strong>material: </strong>Palha<br/><strong>Cor: </strong>Palha,Cromus,Cromus,15,9999,1,20,20,20,,27010079,"24 Cachepots De Palha Juca 12,5X12,5X4 Festa Junina",7909107808447,65040010,,0,http://tamarindos.com.br/imagems/CromusTotal/FestaJunina/27010079.jpg|http://tamarindos.com.br/imagems/CromusTotal/FestaJunina/Ambiente.jpg,,,,Bege,3 Meses,,,,,MLB256823,,,,
CromusFJ_23010581,"8 Cachepots P/Flor Arraia 10X10X16,6 Festa Junina","8 Cachepots P/Flor Arraia 10X10X16,6 Festa Junina",Já pensou como vai decorar a sua festa junina?? Os produtos da Cromus são perfeitos para deixar esse ambiente bem divertido e aconchegante.<br/><br/><strong>CARACTERÍSTICAS: </strong><br/>Produto perfeito para decorar e encher com doces e lembranças<br/>Dimensões: <br/><strong>material: </strong>Cartão<br/><strong>Cor: </strong>Verde,Cromus,Cromus,15,9999,1,20,20,20,,23010581,"8 Cachepots P/Flor Arraia 10X10X16,6 Festa Junina",7909107697126,48102990,,0,http://tamarindos.com.br/imagems/CromusTotal/FestaJunina/23010581.jpg|http://tamarindos.com.br/imagems/CromusTotal/FestaJunina/Ambiente.jpg,,,,Verde,3 Meses,,,,,MLB256823,,,,
CromusFJ_23010903,"6 Cachepots P/Velas Chita Sortido 9,5X9,5X12 Festa Junina","6 Cachepots P/Velas Chita Sortido 9,5X9,5X12 Festa Junina",Já pensou como vai decorar a sua festa junina?? Os produtos da Cromus são perfeitos para deixar esse ambiente bem divertido e aconchegante.<br/><br/><strong>CARACTERÍSTICAS: </strong><br/>Produto perfeito para decorar e encher com doces e lembranças<br/>Dimensões: <br/><strong>material: </strong>Cartão<br/><strong>Cor: </strong>Vermelho,Cromus,Cromus,15,9999,1,20,20,20,,23010903,"6 Cachepots P/Velas Chita Sortido 9,5X9,5X12 Festa Junina",7909107793316,48102990,,0,http://tamarindos.com.br/imagems/CromusTotal/FestaJunina/23010903.jpg|http://tamarindos.com.br/imagems/CromusTotal/FestaJunina/Ambiente.jpg,,,,Vermelho,3 Meses,,,,,MLB256823,,,,
CromusFJ_27010082,24 Cachepots Palha 12X12X10 Festa Junina,24 Cachepots Palha 12X12X10 Festa Junina,Já pensou como vai decorar a sua festa junina?? Os produtos da Cromus são perfeitos para deixar esse ambiente bem divertido e aconchegante.<br/><br/><strong>CARACTERÍSTICAS: </strong><br/>Produto perfeito para decorar e encher com doces e lembranças<br/>Dimensões: <br/><strong>material: </strong>Palha<br/><strong>Cor: </strong>Palha,Cromus,Cromus,15,9999,1,20,20,20,,27010082,24 Cachepots Palha 12X12X10 Festa Junina,7909107808461,65040010,,0,http://tamarindos.com.br/imagems/CromusTotal/FestaJunina/27010082.jpg|http://tamarindos.com.br/imagems/CromusTotal/FestaJunina/Ambiente.jpg,,,,Bege,3 Meses,,,,,MLB256823,,,,
CromusFJ_23010911,10 Caixas Maleta Kids Fogueira Média Festa Junina,10 Caixas Maleta Kids Fogueira Média Festa Junina,Já pensou como vai decorar a sua festa junina?? Os produtos da Cromus são perfeitos para deixar esse ambiente bem divertido e aconchegante.<br/><br/><strong>CARACTERÍSTICAS: </strong><br/>Linda caixa para lembrancinhas<br/>Dimensões: C 12 x L 8 x A 12cm<br/><strong>material: </strong>Cartão<br/><strong>Cor: </strong>Verde,Cromus,Cromus,15,9999,1,20,20,20,,23010911,10 Caixas Maleta Kids Fogueira Média Festa Junina,7909107793538,48102990,,0,http://tamarindos.com.br/imagems/CromusTotal/FestaJunina/23010911.jpg|http://tamarindos.com.br/imagems/CromusTotal/FestaJunina/Ambiente.jpg,,,,Verde,3 Meses,,,,,MLB258764,,,,
