sku;nome;nomeml;descricao;fornecedor;marca;lead_time;estoque;peso;altura;largura;comprimento;cubagem;Sku-fiscal;Nome-fiscal;ean;ncm;isbn;origem;imagens;atributos;conteudo_da_embalagem;dimensoes;Cor;Garantia;Material;valor;cat_b2w;cat_cnova;cat_mercado_livre;cat_tamarindos;cat_walmart;cat_netshoes;cat_amazon
NITRON68BR;KIT 3 CAIXAS ORGANIZADORAS RATTAN  MÉDIO C/ TAMPA 12L BRANCA;;Produtos que agregam praticidade e organização ao cotidiano são mais que essencias. Kit com 3 cestos organizadores com tampa, estilo rattan e desenvolvido em polipropileno, possui capacidade de 12 litros. Ótima opção para guardar materiais de costura, brincos, medicamentos, ferramentas, entre uma infinidade de coisas. ;Nitron;Nitron;0;10;1.5;0.35;0.26;0.33;;;;;39249000;;1;http://tamarindos.com.br/imagems/fotos_novas/kitnitronbranco.jpg|http://tamarindos.com.br/imagems/fotos_novas/nitroncaixasorita.jpg;;Contém 3 caixas de 12 L;29x20x16cm;Branco;3;Polipropileno;119.9;58|3021|4|1;;MLB186811;;;;
NITRON68PT;KIT 3 CAIXAS ORGANIZADORAS RATTAN  MÉDIO C/ TAMPA 12L PRETA;;Produtos que agregam praticidade e organização ao cotidiano são mais que essencias. Kit com 3 cestos organizadores com tampa, estilo rattan e desenvolvido em polipropileno, possui capacidade de 12 litros. Ótima opção para guardar materiais de costura, brincos, medicamentos, ferramentas, entre uma infinidade de coisas. ;Nitron;Nitron;0;10;1.5;0.35;0.26;0.33;;;;;39249000;;1;http://tamarindos.com.br/imagems/fotos_novas/kitnitronpreto.jpg|http://tamarindos.com.br/imagems/fotos_novas/caixarattan.jpg;;Contém 3 caixas de 12 L;29x20x16cm;Preto;3;Polipropileno;119.9;58|3021|4|1;;MLB186811;;;;
NITRON68CAZ;KIT 3 CAIXAS ORGANIZADORAS RATTAN  MÉDIO C/ TAMPA 12L AZUL;;Produtos que agregam praticidade e organização ao cotidiano são mais que essencias. Kit com 3 cestos organizadores com tampa, estilo rattan e desenvolvido em polipropileno, possui capacidade de 12 litros. Ótima opção para guardar materiais de costura, brincos, medicamentos, ferramentas, entre uma infinidade de coisas. ;Nitron;Nitron;0;10;1.5;0.35;0.26;0.33;;;;;39249000;;1;http://tamarindos.com.br/imagems/fotos_novas/kitnitronazul.jpg|http://tamarindos.com.br/imagems/fotos_novas/caixarattanazul.jpg;;Contém 3 caixas de 12 L;29x20x16cm;Azul;3;Polipropileno;119.9;58|3021|4|1;;MLB186811;;;;
NITRON68CVM;KIT 3 CAIXAS ORGANIZADORAS RATTAN  MÉDIO C/ TAMPA 12L VERMELHA;;Produtos que agregam praticidade e organização ao cotidiano são mais que essencias. Kit com 3 cestos organizadores com tampa, estilo rattan e desenvolvido em polipropileno, possui capacidade de 12 litros. Ótima opção para guardar materiais de costura, brincos, medicamentos, ferramentas, entre uma infinidade de coisas. ;Nitron;Nitron;0;10;1.5;0.35;0.26;0.33;;;;;39249000;;1;http://tamarindos.com.br/imagems/fotos_novas/kitnitronvermelho.jpg|http://www.nitronplast.com.br/Imagens/organizacao/foto_0431.jpg;;Contém 3 caixas de 12 L;29x20x16cm;Vermelho;3;Polipropileno;119.9;58|3021|4|1;;MLB186811;;;;
NITRON69MN;KIT 3 CAIXAS ORGANIZADORAS RATTAN GRANDE C/TAMPA 16L MARRON;;Produtos que agregam praticidade e organização ao cotidiano são mais que essencias. Kit com 3 cestos organizadores com tampa, estilo rattan e desenvolvido em polipropileno, possui capacidade de 16 litros. Ótima opção para guardar materiais de costura, brincos, medicamentos, ferramentas, entre uma infinidade de coisas.;Nitron;Nitron;0;10;2;0.37;0.27;0.34;;;;;39249000;;1;http://tamarindos.com.br/imagems/fotos_novas/kitnitronmarron.jpg|http://tamarindos.com.br/imagems/fotos_novas/nitroncaixasorita.jpg;;Contém 3 caixas de 16L;35x23x29cm;Marrom;3;Polipropileno;179.9;58|3021|4|1;;MLB186811;;;;
NITRON69BR;KIT 3 CAIXAS ORGANIZADORAS RATTAN GRANDE C/ TAMPA 16L  BRANCA;;Produtos que agregam praticidade e organização ao cotidiano são mais que essencias. Kit com 3 cestos organizadores com tampa, estilo rattan e desenvolvido em polipropileno, possui capacidade de 16 litros. Ótima opção para guardar materiais de costura, brincos, medicamentos, ferramentas, entre uma infinidade de coisas.;Nitron;Nitron;0;10;2;0.37;0.27;0.34;;;;;39249000;;1;http://tamarindos.com.br/imagems/fotos_novas/kitnitronbranco.jpg|http://tamarindos.com.br/imagems/fotos_novas/nitroncaixasorita.jpg;;Contém 3 caixas de 16L;35x23x29cm;Branco;3;Polipropileno;179.9;58|3021|4|1;;MLB186811;;;;
NITRON69CAZ;KIT 3 CAIXAS ORGANIZADORAS RATTAN GRANDE C/TAMPA 16L AZUL;;Produtos que agregam praticidade e organização ao cotidiano são mais que essencias. Kit com 3 cestos organizadores com tampa, estilo rattan e desenvolvido em polipropileno, possui capacidade de 16 litros. Ótima opção para guardar materiais de costura, brincos, medicamentos, ferramentas, entre uma infinidade de coisas.;Nitron;Nitron;0;10;2;0.37;0.27;0.34;;;;;39249000;;1;http://tamarindos.com.br/imagems/fotos_novas/kitnitronazul.jpg|http://tamarindos.com.br/imagems/fotos_novas/caixarattanazul.jpg;;Contém 3 caixas de 16L;35x23x29cm;Azul;3;Polipropileno;179.9;58|3021|4|1;;MLB186811;;;;
NITRON69VM;KIT 3 CAIXAS ORGANIZADORAS RATTAN GRANDE C/TAMPA 16L VERMELHA;;Produtos que agregam praticidade e organização ao cotidiano são mais que essencias. Kit com 3 cestos organizadores com tampa, estilo rattan e desenvolvido em polipropileno, possui capacidade de 16 litros. Ótima opção para guardar materiais de costura, brincos, medicamentos, ferramentas, entre uma infinidade de coisas.;Nitron;Nitron;0;10;2;0.37;0.27;0.34;;;;;39249000;;1;http://tamarindos.com.br/imagems/fotos_novas/kitnitronvermelho.jpg|http://www.nitronplast.com.br/Imagens/organizacao/foto_0431.jpg;;Contém 3 caixas de 16L;35x23x29cm;Vermelho;3;Polipropileno;179.9;58|3021|4|1;;MLB186811;;;;
SERTIC_75.107;CANETA POSCA MARCADOR ROLLERSET C/12 UNIDADES PC-5M;;"PC-5M ESTOJO DE CANETA POSCA COM 12 UNIDADES
- Marcador multiuso à base de água
- Cores vivas e expressivas
- Uso em superfícies claras e escuras
- Não tóxico
- Espessura do traço: 2,4-6,8mm
- Escreve 230 metros.
- Nas cores: verde, azul, violeta, roxo, marron, rosa, vermelho, laranja, amarelo, branco, prata, dourado, preto";Sertic;Uniball;0;5;0.34;0.19;0.07;0.07;;75107;;7.89633E+12;9608.20.00;;2;http://tamarindos.com.br/imagems/fotos_novas/estojoposca.jpg;;12 canetas posca;;Soritda;3;;;45|277|6364|6365;;MLB47625;;;;
IMP91284;BERCO MINI PLAY SAFETY POP BLUE;;"• Design compacto para uso móvel
•  O berço vem Duas opções de altura com fixação de zíper  Trazendo segurança entre a distância entre a parede do berço e o colchonete
• equipado com mosquiteiro fácil para instalar
• O bolso lateral pode ser facilmente acoplado e desacoplado ao produto
• Leve e compacto para viagens, acompanha uma bolsa para o transporte e armazenamento
• Produto aprovado pelo INMETRO
";Dorel;Safety 1st ;7;100;7.9;0.75;0.21;0.21;;IMP91284;;7.89851E+12;9401.80.00;;2;http://tamarindos.com.br/imagems/fotos_novas/azulportatil1.jpg|http://tamarindos.com.br/imagems/fotos_novas/azulportatil3.jpg|http://tamarindos.com.br/imagems/fotos_novas/azulportatil2.jpg|http://tamarindos.com.br/imagems/fotos_novas/azulfechado2.jpg;;1 berço, 1 bolso lateral, 1 bolso para transporte, 1 mosquiteiro e 1 manual de instrução;74X60x98cm;Azul ;12;"Revestimento: Poliéster; Estrutura: Aço e Plástico";429.9;12|3659|1|1;;MLB74350;;;;
