sku,estoque
01.01.01.000036,0
01.01.01.000059,0
01.01.01.000060,0
01.01.01.000062,0
01.01.01.000063,0
01.01.01.000064,0
01.01.01.000065,0
01.01.01.000066,0
01.01.01.000067,0
01.01.01.000072,0
01.01.06.000002,0
01.01.06.000003,0
10001001,0
10001002,0
10001003,0
10001004,0
10001005,0
10001006,0
10001007,0
10001008,0
10001009,0
10001010,0
10001011,0
10001012,0
10001013,0
10001014,0
10001015,0
10002001,0
10002002,0
10002003,0
10002004,0
10002005,0
10002006,0
10002007,0
10002008,0
10002009,0
10002010,0
10002011,0
10002012,0
10002013,0
10002014,0
10002015,0
10002016,0
10002017,0
10002018,0
10002019,0
10002020,0
10002021,0
10002022,0
10002023,0
10002024,0
10002025,0
10002026,0
10002027,0
10002028,0
10002029,0
10002030,0
10002031,0
10002032,0
10002033,0
10002034,0
10002035,0
10002036,0
10002037,0
10002038,0
10002039,0
10002040,0
10002041,0
10002042,0
10002043,0
10002044,0
10002045,0
10002046,0
10002047,0
10002048,0
10002049,0
10002050,0
10002051,0
10002052,0
10002053,0
10002054,0
10002055,0
10002056,0
10002057,0
10002058,0
10002059,0
10002060,0
10002061,0
10002062,0
10002063,0
10002064,0
10002065,0
10002066,0
10002067,0
10002068,0
10002069,0
10002070,0
10002071,0
10002072,0
10002073,0
10002074,0
110PAN302,0
2170.R.0005,0
2171.R.0005,0
2172.R.0005,0
220CLI93N,0
220PAN302,0
30400092,0
30400093,0
30400093-2,0
30400094,0
30400094-2,0
30400095,0
30400095-2,0
30400096,0
30400096-2,0
30400097,0
30400098,0
30400098-2,0
30400099,0
30400099-2,0
30400100,0
30400101,0
30400101-2,0
30400102,0
30400103,0
30400103-2,0
30400104,0
30400104-2,0
30400105,0
30400105-2,0
30400106,0
30400106-2,0
30400107,0
30400108,0
30400108-2,0
30400109,0
30400109-2,0
30400110,0
30400111,0
30400112,0
30400113,0
30400114,0
30400115,0
30400116,0
30400117,0
30400118,0
30400119,0
30400120,0
30400121,0
30400122,0
30400123,0
30400124,0
30400125,0
30400126,0
30400127,0
30400127-2,0
30400128,0
30400129,0
30400130,0
30400131,0
30400132,0
30400132-2,0
30400133,0
30400134,0
30400135,0
30400136,0
30400137,0
30400137-2,0
30400138,0
30400139,0
30400140,0
